Lower Super Output Area,Names,Mid year Population Estimates;All Ages;2011,Mid year Population Estimates;Aged 0 15;2011,Mid year Population Estimates;Aged 16 29;2011,Mid year Population Estimates;Aged 30 44;2011,Mid year Population Estimates;Aged 45 64;2011,Mid year Population Estimates;Aged 65+;2011,Mid year Population Estimates;Working age;2011,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Household Composition;% Lone parent household;2011,Household Composition;% One person household;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011,Tenure;Social rented (%);2011,Tenure;Private rented (%);2011,Dwelling type;Household spaces with no usual residents (%);2011,House Prices;Median Price (£);2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;Lone parent not in employment %;2011,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Qualifications;% Highest level of qualification: Level 1 qualifications;2011,Qualifications;% Highest level of qualification: Level 2 qualifications;2011,Qualifications;% Highest level of qualification: Apprenticeship;2011,Qualifications;% Highest level of qualification: Other qualifications;2011,Health;Day to day activities limited a lot (%);2011,Health;Day to day activities limited a little (%);2011,Health;Fair health (%);2011,Health;Bad or Very Bad health (%);2011,Car or van availability;No cars or vans in household (%);2011,Car or van availability;1 car or van in household (%);2011,Public Transport Accessibility Levels (2014);% 0 1 (poor access),Public Transport Accessibility Levels (2014);% 2 3 (average access),"Household Income, 2011/12;Mean Annual Household Income estimate (£)",pop_density_2011
E01000079,Barking and Dagenham 009E,1553,417,277,313,331,215,921,1546,31,19.2,31.9,69.1,3.3,9.1,17.8,0.7,30.9,37.3,13.5,1.6,-146000,11,59.7,10.6,33,15.2,14.9,1.7,7.8,12.7,9.1,14.4,8.7,42.2,39.7,41.9,58.1,-32165,50.09677419
E01000035,Barking and Dagenham 010A,1613,369,324,320,374,226,1018,1610,39.7,16.9,26.6,67.1,3.7,9.9,18.4,0.9,32.9,19.2,16.8,3.9,-180000,9,53.5,9.2,28.6,16.1,16.2,1.8,8.5,8.8,7.9,13.2,6.8,29.3,52.4,17.9,82.1,-37206,40.62972292
E01000036,Barking and Dagenham 010B,1354,302,262,299,339,152,900,1353,41.9,10.7,20.9,57.9,2.4,17.9,21.4,0.3,42.1,4.1,17.5,2.5,-202500,5,51.7,6.3,25.5,16.4,15.2,2.5,7.7,5.3,8.2,12.3,3.3,25.4,48.2,0,100,-43059,32.3150358
E01000107,Barking and Dagenham 010C,1665,391,281,314,402,277,997,1666,53.6,17.5,21.8,71.3,2.5,8.5,16.8,0.9,28.7,14.6,14,1.8,-175000,8,49.3,9.3,33.6,14.5,16.3,3.4,8.9,9.2,8.2,14.5,5.9,26.5,49.6,75.6,24.4,-38577,31.06343284
E01000108,Barking and Dagenham 010D,1556,329,319,344,381,183,1044,1558,24.2,16.3,29.9,67.7,4.3,8.9,18,1.2,32.3,11.2,27.5,2,-190000,8,42,9.4,26.3,16.7,15.5,3.7,6.4,6.4,9.2,12.1,5.1,34.4,44.6,2.9,97.1,-37289,64.29752066
E01000066,Barking and Dagenham 011A,1941,492,416,411,415,207,1242,1928,24.5,13.5,30.5,47.7,4,36.8,9.3,2.3,52.3,28,11.3,1.6,-259748,7,47.5,7.4,25,13.3,12.8,2.6,12.8,8.6,7.4,12.5,5.2,31.9,44.8,68.3,31.7,-43557,79.2244898
E01000067,Barking and Dagenham 011B,1985,453,440,409,453,230,1302,1969,19.3,13,25.3,46.4,2.4,36.4,12.8,1.9,53.6,19,12.5,1.5,-250000,6,46.6,8.7,23.1,14.2,15.9,3.1,9.7,6.9,6.4,11.9,4.6,29.5,43.7,36.7,63.3,-47084,102.8497409
E01000069,Barking and Dagenham 011C,1777,410,419,346,421,181,1186,1763,20.1,9.6,16,45.9,4.7,41.6,6.1,1.8,54.1,1.2,11.3,1.9,-298000,3,31,4.3,20.5,14.4,16.5,2.8,10,5.6,6.9,10.6,3.9,15.8,44.6,7.6,92.4,-55729,88.4079602
E01000070,Barking and Dagenham 011D,1987,412,470,417,409,279,1296,1975,39.2,8.5,17.9,42,5.9,43,7.6,1.5,58,6,14.5,3.2,-250000,4,48,8,22.8,13,13.9,2.4,11.9,6.6,8,13.4,4.4,25.6,42.8,0,93.7,-52181,50.68877551
E01000071,Barking and Dagenham 011E,2272,540,506,528,427,271,1461,2253,27.1,11,28.3,38.5,4.6,41.4,12.5,3.1,61.5,14.4,21.5,1,-249995,6,49.2,8,22.3,13.7,13,2,10.2,6.6,7.8,11.1,5,28.2,47.8,13,87,-46041,83.83763838
